rt,choice,correct,dr,drt,participant
0.4577,2,0,0,,S1
0.6207999999999999,1,1,0,,S1
0.3788,1,0,0,,S1
0.6057,2,1,0,,S1
0.36860000000000004,2,1,0,,S1
0.5405,2,1,0,,S1
0.3737,2,0,0,,S1
0.26489999999999997,2,0,0,,S1
0.5103,2,1,0,,S1
0.3958,2,1,0,,S1
0.2657,2,0,0,,S1
0.426,2,1,0,,S1
0.4521,2,0,0,,S1
0.5051,2,0,0,,S1
0.6293,2,1,0,,S1
0.6972999999999999,2,1,0,,S1
0.4144,2,1,0,,S1
0.496,2,0,0,,S1
0.6572,2,1,0,,S1
0.4864,2,1,0,,S1
1.0207,1,1,0,,S1
0.4953,1,1,0,,S1
0.3527,1,0,0,,S1
0.07959999999999999,2,1,0,,S1
0.9005,1,0,0,,S1
0.5423,2,1,0,,S1
0.275,2,0,0,,S1
0.37510000000000004,2,1,0,,S1
0.39130000000000004,2,0,0,,S1
0.5715,2,1,0,,S1
0.5877,1,1,0,,S1
0.3499,1,0,0,,S1
0.4746,2,1,0,,S1
0.3325,2,1,0,,S1
0.3334,2,1,0,,S1
0.4009,2,1,0,,S1
0.26389999999999997,2,0,0,,S1
0.3988,2,1,0,,S1
0.2457,2,1,0,,S1
0.32380000000000003,2,1,0,,S1
0.4742,2,1,0,,S1
0.4027,2,0,0,,S1
0.5127999999999999,1,1,0,,S1
0.4274,2,1,0,,S1
0.4162,1,1,0,,S1
0.44480000000000003,1,1,0,,S1
0.5002,2,1,0,,S1
0.445,1,1,0,,S1
0.3093,2,0,0,,S1
0.5388,1,0,0,,S1
0.44389999999999996,1,0,0,,S1
0.5504,2,0,0,,S1
0.4696,2,1,0,,S1
0.5736,2,1,0,,S1
0.4632,2,1,0,,S1
0.384,2,1,0,,S1
0.4183,2,1,0,,S1
0.5133,1,1,0,,S1
0.6366,1,1,1,0.2196,S1
0.5488,2,1,0,,S1
0.2893,1,1,0,,S1
0.4716,2,0,0,,S1
0.4265,1,1,0,,S1
0.39130000000000004,1,1,0,,S1
0.4161,1,0,0,,S1
0.6731,1,1,0,,S1
0.3987,1,1,0,,S1
0.4154,1,0,0,,S1
0.7712,1,1,0,,S1
0.4838,2,1,0,,S1
0.3669,2,0,0,,S1
0.43889999999999996,2,0,0,,S1
0.4669,2,0,0,,S1
0.36010000000000003,1,0,0,,S1
0.456,1,1,0,,S1
0.48619999999999997,1,0,0,,S1
0.323,2,0,0,,S1
0.7758999999999999,2,0,0,,S1
0.5182,1,1,0,,S1
0.3058,1,1,0,,S1
0.43339999999999995,1,1,0,,S1
0.3712,1,0,0,,S1
0.4136,1,1,0,,S1
0.5297000000000001,2,1,0,,S1
0.5226000000000001,2,1,0,,S1
0.38239999999999996,2,1,0,,S1
0.2255,2,1,0,,S1
0.281,2,0,0,,S1
0.4477,2,1,0,,S1
0.2809,2,1,0,,S1
0.3478,2,0,0,,S1
0.4063,2,0,0,,S1
0.48669999999999997,1,1,0,,S1
0.3932,1,1,0,,S1
0.4765,1,0,1,0.1789,S1
0.4415,1,0,0,,S1
0.4337,2,1,0,,S1
0.244,2,1,0,,S1
0.2622,2,0,0,,S1
0.5253,2,1,0,,S1
0.44639999999999996,2,1,0,,S1
0.3505,2,1,0,,S1
0.2906,2,0,0,,S1
0.5187,1,1,0,,S1
0.5025,2,1,0,,S1
0.48910000000000003,2,1,0,,S1
0.3722,2,0,0,,S1
0.5297000000000001,1,1,0,,S1
0.4728,1,1,0,,S1
0.4288,1,1,0,,S1
0.4219,1,1,0,,S1
0.2928,1,0,0,,S1
0.3712,1,1,0,,S1
0.2508,1,0,0,,S1
0.2542,1,0,0,,S1
0.2783,1,1,0,,S1
0.2879,1,0,0,,S1
0.4899,2,1,0,,S1
0.3305,2,0,0,,S1
0.43510000000000004,1,1,0,,S1
0.4636,2,1,0,,S1
0.4455,1,0,0,,S1
0.49539999999999995,2,1,0,,S1
0.1692,2,0,0,,S1
0.4074,2,0,0,,S1
0.5912999999999999,1,1,0,,S1
0.6531,2,1,0,,S1
0.5181,1,1,0,,S1
0.4511,2,0,0,,S1
0.5121,1,1,0,,S1
0.6329,2,1,0,,S1
0.6071,1,1,0,,S1
